state,x,y
Andhra Pradesh,-62.0, -126.0
Arunachal Pradesh,181.0, 103.0
Assam,156.0, 68.0
Bihar,55.0, 52.0
Chhattisgarh,-9.0, -17.0
Goa,-138.0, -120.0
Gujarat,-169.0, 12.0
Haryana,-89.0, 114.0
Himachal Pradesh,-71.0, 160.0
Jammu and Kashmir,-85.0, 209.0
Jharkhand,44.0, 18.0
Karnataka,-116.0, -134.0
Kerala,-103.0, -200.0
Madhya Pradesh,-58.0, 11.0
Maharashtra,-111.0, -49.0
Manipur,173.0, 42.0
Meghalaya,133.0, 52.0
Mizoram,158.0, 17.0
Nagaland,183.0, 65.0
Odisha,35.0, -32.0
Punjab,-103.0, 142.0
Rajasthan,-133.0, 71.0
Sikkim,94.0, 87.0
Tamil Nadu,-72.0, -199.0
Telangana,-55.0, -78.0
Tripura,140.0, 22.0
Uttar Pradesh,-24.0, 74.0
Uttarakhand,-44.0, 130.0
West Bengal,81.0, 11.0
Delhi,-77.0, 105.0
Puducherry,-46.0, -178.0